canonical_name,alias1,alias2,alias3
3 Zinnen Ag
Luxor,Booktook
Aau Olomouc
Aau Ostrava 2
Albert
Alldebrid
Alza
Amart
Angus Restaurant
Arka Sg
Armen Fast Food
Atm
Banyan Bistro
Billa
Bok Simply Asian
Bolt
Cajovna Za Zrcadlem
Ccc
Datart
Eiscafe Delikana,Delikana
Delikomat
Dm Drogerie
Dr.Max,Lekarna Dr.Max
Dracik
Fanatical
VSB,Eps,Eps.Vsb
Filipová Dominika
Fio Banka
Flamengo
Fokus Optik
Forkys
Galerie Prerov
Google One
Gopay
Green Man Gaming
Grig
Hloch Robert
Humble Bundle
Idos
Idsjmk
Is Kam
Jizdne
Kanzelsberger
KFC
Koh-I-Noor
Kosmas
Lekarna Sano
Lekarna U Sv. Trojice
Levne Knihy
Lidl
Liquor Shop
Lokofu
Luma Trading
Hloch Marek
McDonald's
McPen
Megaknihy
Míček Martin
Paypal
Prime Video
Realgeek
Regiojet
Revolut
Riot
Steam,Steam games,Steam purchase
Tesco
Trading 212
Tsbohemia
Zayka Indian Restaurant
Bartošová Štěpánka
Kaufland,,
Vojtila,,
Yuplay,,
Student Agency,studentagency.cz,
Ventana Cafe,,
VUT,,
Sportisimo,,
Kebab,,
Panda,,
Satyam Indická Restaurace,,,
